FIPS,Gyms
39007,11
39011,6
39013,9
39017,40
39019,0
39021,5
39023,11
39025,16
39027,3
39029,7
39031,2
39033,5
39035,136
39037,5
39039,4
39041,18
39043,15
39045,16
39047,3
39049,110
39051,6
39053,11
39055,6
39057,24
39059,9
39061,111
39063,7
39065,2
39069,6
39071,5
39075,1
39077,5
39079,3
39081,4
39083,1
39085,19
39087,6
39089,16
39091,2
39093,23
39095,41
39097,3
39099,15
39101,6
39103,22
39107,2
39109,6
39113,72
39115,2
39117,8
39119,9
39121,0
39123,2
39127,4
39129,8
39131,1
39133,10
39135,0
39137,4
39139,11
39141,8
39143,5
39145,7
39147,5
39149,10
39151,32
39153,43
39155,15
39157,7
39159,4
39161,1
39165,17
39167,9
39169,9
39171,2
39173,10
39175,1
40009,9
40011,2
40013,1
40015,14
40017,10
40019,8
40021,1
40027,16
40031,7
40037,4
40039,10
40041,4
40047,7
40049,8
40051,5
40065,8
40071,1
40079,3
40081,2
40083,1
40087,3
40093,3
40097,1
40099,1
40101,3
40109,67
40111,5
40115,1
40117,1
40119,2
40121,3
40123,3
40125,2
40131,3
40133,0
40137,4
40139,2
40143,54
40145,1
40147,2
40153,0
41001,7
41003,11
41005,36
41007,2
41009,2
41011,4
41013,1
41015,4
41017,18
41019,6
41025,1
41027,0
41029,24
41031,10
41033,7
41035,7
41037,10
41039,11
41041,1
41043,14
41045,2
41047,34
41051,45
41053,6
41057,10
41059,23
41061,0
41065,3
41067,40
41071,4
42001,1
42003,0
42005,0
42007,9
42009,3
42011,22
42013,3
42015,1
42017,0
42019,5
42021,0
42025,3
42027,0
42029,0
42031,1
42033,5
42035,3
42037,6
42039,0
42041,4
42043,10
42045,0
42047,3
42049,16
42051,4
42055,6
42057,1
42059,2
42061,0
42063,3
42065,8
42067,0
42069,5
42071,25
42073,3
42075,0
42077,13
42079,9
42081,0
42083,2
42085,0
42087,5
42089,12
42091,0
42093,2
42095,9
42097,2
42099,0
42101,44
42107,0
42109,0
42111,1
42115,0
42117,0
42119,2
42121,0
42123,4
42125,10
42127,2
42129,17
42133,24
44001,1
44003,0
44005,3
44007,0
44009,0
45003,5
45005,1
45007,35
45013,26
45015,3
45019,39
45021,2
45023,1
45025,2
45027,3
45029,2
45031,5
45035,9
45041,1
45043,5
45045,65
45047,1
45051,16
45055,8
45057,5
45059,0
45061,1
45063,22
45067,4
45069,1
45071,1
45073,4
45075,1
45077,14
45079,25
45083,23
45085,1
45091,16
46005,1
46011,5
46013,4
46015,1
46019,1
46023,1
46027,1
46029,4
46033,1
46035,4
46047,1
46051,1
46059,1
46065,3
46081,4
46093,2
46099,25
46103,9
46107,3
46115,1
46123,2
46127,0
46129,2
46135,4
46137,1
47001,3
47003,2
47005,2
47009,4
47011,8
47013,1
47017,3
47021,1
47023,1
47025,38
47029,2
47031,6
47035,1
47037,98
47039,1
47043,4
47045,0
47047,0
47051,4
47053,3
47055,1
47059,1
47061,1
47063,5
47065,51
47069,3
47071,3
47073,4
47075,3
47077,4
47079,5
47091,4
47093,41
47099,0
47103,2
47105,0
47109,17
47113,11
47117,2
47119,6
47123,10
47125,11
47131,3
47133,3
47141,5
47143,2
47145,5
47147,2
47149,12
47153,2
47155,3
47157,64
47161,0
47163,19
47165,15
47167,3
47171,2
47177,2
47179,10
47183,0
47185,12
47187,8
47189,8
48001,9
48005,3
48007,1
48013,3
48015,0
48017,1
48019,2
48021,9
48025,10
48027,24
48029,138
48031,4
48037,9
48039,23
48041,12
48045,2
48049,4
48051,2
48053,7
48059,5
48061,17
48071,1
48073,1
48075,2
48085,81
48087,1
48089,2
48091,3
48093,4
48097,4
48099,5
48111,1
48113,195
48117,1
48121,32
48135,12
48139,12
48141,58
48143,3
48147,3
48149,3
48157,24
48161,11
48167,22
48171,1
48175,3
48177,3
48179,4
48181,5
48183,14
48187,16
48189,5
48199,6
48201,341
48203,11
48209,12
48211,1
48213,5
48215,32
48217,4
48219,1
48221,0
48223,5
48225,1
48227,0
48231,4
48233,3
48235,1
48239,0
48241,1
48245,19
48249,17
48251,7
48253,2
48255,1
48257,6
48259,4
48265,62
48267,1
48273,18
48277,4
48279,0
48281,2
48285,1
48287,0
48291,1
48293,4
48303,22
48309,21
48321,3
48323,2
48325,3
48329,13
48333,0
48335,1
48337,1
48339,27
48347,11
48349,7
48355,18
48357,7
48361,6
48363,1
48365,0
48367,8
48369,6
48373,2
48375,8
48377,1
48379,4
48381,20
48385,1
48395,2
48397,10
48409,4
48415,4
48419,2
48423,29
48439,114
48441,13
48445,1
48449,2
48451,11
48453,136
48455,0
48459,3
48463,3
48465,2
48467,10
48469,11
48471,2
48477,3
48479,14
48481,4
48483,1
48485,15
48487,1
48491,40
48493,2
49001,0
49003,3
49005,7
49007,1
49011,18
49013,1
49019,1
49021,7
49025,2
49029,4
49033,2
49035,59
49041,6
49043,7
49045,3
49049,22
49051,1
49053,6
49055,4
49057,6
50001,2
50003,7
50005,1
50007,17
50011,1
50015,0
50017,0
50019,0
50021,0
50023,0
50025,3
50027,0
51001,0
51003,3
51005,2
51009,1
51011,4
51013,19
51015,7
51019,3
51023,0
51025,0
51027,2
51031,12
51033,0
51035,2
51041,16
51047,6
51053,0
51057,0
51059,0
51061,7
51063,4
51065,3
51067,4
51069,0
51073,0
51077,0
51083,3
51085,0
51087,0
51089,0
51093,0
51099,0
51101,0
51109,0
51111,0
51113,0
51115,5
51117,0
51119,4
51121,7
51125,0
51127,0
51131,0
51137,2
51139,3
51145,0
51147,7
51149,1
51153,0
51155,3
51159,2
51161,5
51163,2
51165,0
51173,1
51177,0
51179,0
51183,0
51185,2
51187,9
51191,2
51193,0
51195,1
51197,3
51199,8
51510,0
51515,1
51520,1
51540,0
51550,11
51570,0
51590,8
51595,0
51600,0
51610,5
51650,0
51670,4
51680,6
51690,0
51700,14
51710,0
51730,1
51740,7
51750,3
51760,0
51770,8
51775,10
51800,0
51810,0
51820,0
51830,0
51840,0
53001,1
53005,20
53007,16
53009,10
53011,35
53015,9
53021,4
53025,2
53027,5
53029,1
53031,5
53033,272
53035,18
53037,6
53039,1
53041,7
53045,5
53047,6
53049,1
53051,1
53053,60
53055,6
53057,13
53061,63
53063,54
53065,4
53067,11
53071,6
53073,21
53075,2
53077,14
54001,3
54003,4
54007,1
54011,9
54017,1
54019,3
54027,1
54029,1
54033,4
54035,2
54037,3
54039,23
54041,1
54043,1
54045,1
