FIPS,Gyms
28043,21
28045,1
28047,15
28049,3
28057,10
28059,3
28067,1
28071,5
28073,2
28075,3
28077,5
28079,19
28081,1
28083,2
28085,2
28087,1
28089,1
28091,4
28095,1
28099,4
28101,3
28103,1
28105,1
28107,12
28109,1
28113,2
28115,1
28117,1
28121,1
28123,1
28127,1
28131,2
28133,2
28137,3
28145,2
28147,1
28149,1
28151,1
28157,3
28159,2
29001,1
29005,1
29007,28
29009,8
29013,2
29015,4
29019,6
29021,3
29023,1
29027,6
29029,7
29031,28
29033,1
29037,7
29043,3
29047,2
29049,1
29051,2
29053,8
29055,1
29059,33
29065,1
29069,2
29071,1
29075,1
29077,6
29081,2
29083,49
29085,11
29087,14
29091,2
29093,2
29095,2
29097,1
29099,1
29101,2
29103,2
29105,1
29107,4
29109,2
29111,4
29113,1
29115,3
29121,2
29123,1
29127,1
29129,2
29131,2
29133,2
29135,4
29137,1
29139,4
29141,4
29145,1
29147,13
29159,1
29161,3
29163,4
29165,2
29169,36
29175,2
29177,129
29183,3
29187,1
29189,3
29195,1
29199,1
29201,3
29205,6
29207,1
29209,2
29213,2
29215,2
29217,3
29219,2
29221,37
29225,2
29229,1
29510,1
30001,9
30009,1
30013,1
30015,2
30017,1
30021,15
30023,13
30027,2
30029,2
30031,8
30041,1
30047,1
30049,1
30051,12
30053,2
30057,1
30063,6
30067,1
30077,6
30081,2
30083,24
30089,7
30093,1
30095,4
30097,1
30099,2
30111,1
31001,1
31013,2
31017,1
31019,2
31021,3
31023,2
31025,80
31027,1
31031,3
31037,8
31043,1
31047,38
31053,7
31055,6
31061,1
31067,1
31079,2
31081,2
31109,1
31111,2
31119,6
31121,3
31127,1
31129,16
31131,5
31135,2
31137,2
31141,6
31145,63
31151,7
31153,3
31157,1
31159,2
31175,4
31177,33
32001,7
32003,7
32005,6
32007,10
32009,5
32013,18
32019,51
32031,20
32510,64
33001,9
33003,1
33005,33
33007,172
33009,55
33011,67
33013,16
33015,12
33017,83
33019,39
34001,65
34003,20
34005,55
34007,83
34009,121
34011,114
34013,55
34015,53
34017,11
34019,52
34021,22
34023,77
34025,11
34027,54
34029,4
34031,5
34033,9
34035,4
34037,3
34039,3
34041,8
35001,2
35003,2
35005,7
35009,2
35013,1
35015,7
35025,6
35027,11
35028,4
35029,5
35031,34
35035,5
35039,50
35041,23
35043,5
35045,4
35049,10
35055,12
35061,3
36001,5
36003,5
36005,5
36007,31
36009,112
36011,4
36013,2
36015,5
36017,8
36019,6
36021,5
36023,3
36027,143
36029,3
36031,8
36033,5
36035,93
36037,3
36039,226
36043,437
36045,18
36047,21
36049,55
36051,13
36053,25
36055,4
36057,9
36059,4
36061,14
36063,124
36065,6
36067,38
36069,46
36071,1
36073,38
36075,22
36077,2
36079,1
36081,1
36083,6
36085,214
36087,6
36089,3
36091,14
36093,23
36095,11
36101,2
36103,6
36105,188
36107,3
36109,3
36111,18
36113,2
36115,2
36117,2
36119,1
36121,6
36123,1
37001,1
37003,7
37005,33
37009,4
37011,12
37013,3
37015,6
37017,9
37019,4
37021,2
37023,11
37025,22
37027,2
37031,2
37035,11
37037,5
37045,3
37049,34
37051,2
37053,48
37055,5
37057,16
37059,4
37061,1
37063,42
37065,1
37067,13
37069,1
37071,9
37077,2
37079,1
37081,11
37083,3
37085,13
37087,7
37089,4
37091,7
37093,2
37097,2
37099,1
37101,1
37105,110
37107,1
37109,1
37111,8
37113,4
37115,17
37119,1
37121,14
37123,20
37125,1
37127,2
37129,5
37131,5
37133,14
37135,2
37137,11
37139,3
37141,10
37145,9
37147,8
37149,4
37151,4
37153,1
37155,9
37157,4
37159,6
37161,2
37163,3
37165,15
37167,3
37169,123
37171,1
37173,5
37175,8
37179,2
37181,4
37183,4
37185,1
37189,2
37191,9
37193,14
37195,1
37197,2
37199,1
38003,6
38015,1
38017,1
38021,4
38023,4
38029,1
38031,1
38035,1
38039,2
38043,1
38057,4
38059,5
38061,3
38065,4
38069,4
38071,10
38089,4
38093,7
38099,6
38101,8
38105,41
39001,4
39003,11
39005,16
39007,4
39011,7
39013,2
39017,5
39019,134
39021,4
39023,1
39025,20
39027,11
39029,16
39031,3
39033,123
39035,4
39037,7
39039,11
39041,2
39043,105
39045,9
39047,2
39049,2
39051,3
39053,1
39055,1
39057,4
39059,3
39061,3
39063,2
39065,20
39069,3
39071,14
39075,2
39077,23
39079,44
39081,3
39083,20
39085,6
39087,21
39089,3
39091,16
39093,73
39095,1
39097,2
39099,5
39101,1
39103,2
39107,3
39109,1
39113,2
39115,9
39117,1
39119,2
39121,12
39123,3
39127,5
39129,2
39131,5
39133,7
39135,41
39137,46
39139,20
39141,4
39143,4
39145,1
39147,22
39149,7
39151,9
39153,2
39155,10
39157,1
39159,3
39161,1
39165,2
39167,1
39169,10
39171,7
39173,1
39175,25
40009,5
40011,1
40013,3
40015,2
40017,6
40019,1
40021,7
40027,1
40031,3
40037,1
40039,3
40041,2
40047,1
40049,2
40051,1
40065,1
40071,2
40079,2
40081,65
40083,2
40087,4
40093,1
40097,3
40099,2
40101,2
40109,1
40111,1
40115,3
40117,2
40119,80
40121,1
40123,4
40125,2
40131,9
40133,43
40137,4
40139,5
40143,4
40145,2
40147,4
40153,23
41001,8
41003,2
41005,4
41007,23
41009,2
41011,8
41013,8
41015,1
41017,38
41019,3
41025,13
41027,3
41029,32
41031,73
41033,6
41035,1
41037,3
41039,1
41041,1
41043,63
41045,6
41047,3
41051,185
41053,6
41057,8
41059,5
41061,46
41065,10
41067,4
41071,84
42001,18
42003,12
42005,6
42007,17
42009,78
42011,2
42013,7
42015,4
42017,9
42019,5
42021,24
42025,28
42027,71
42029,3
42031,32
42033,9
42035,15
42037,1
42039,6
42041,5
42043,3
42045,3
42047,20
42049,59
42051,11
42055,14
42057,34
42059,23
42061,3
42063,2
42065,8
42067,4
42069,12
42071,145
42073,3
42075,17
42077,3
42079,6
42081,100
42083,10
42085,7
42087,3
42089,1
42091,4
42093,5
42095,6
42097,1
42099,25
42101,4
42107,42
42109,45
42111,5
42115,28
42117,5
42119,79
42121,28
42123,6
42125,1
42127,12
42129,1
42133,23
44001,8
44003,50
44005,1
44007,1
44009,1
45003,1
45005,2
45007,6
45013,8
45015,10
45019,7
45021,64
45023,1
45025,18
45027,5
45029,4
45031,2
45035,3
45041,30
45043,1
45045,1
45047,2
45051,4
45055,3
45057,12
45059,22
45061,26
45063,2
45067,1
45069,1
45071,16
45073,3
45075,5
45077,6
45079,1
45083,1
45085,1
45091,1
46005,5
46011,1
46013,2
46015,2
46019,1
46023,1
46027,3
46029,1
46033,2
46035,4
46047,26
46051,14
46059,1
46065,1
46081,1
46093,2
46099,1
46103,5
46107,1
46115,3
46123,7
46127,3
46129,2
46135,1
46137,1
47001,1
47003,2
47005,4
47009,2
47011,95
47013,1
47017,4
47021,1
47023,2
47025,4
47029,5
47031,2
47035,1
47037,1
47039,2
47043,49
47045,3
47047,2
47051,2
47053,1
47055,3
47059,2
47061,1
47063,1
47065,43
47069,1
47071,3
47073,4
47075,1
47077,11
47079,1
47091,2
47093,7
47099,1
47103,2
47105,12
47109,3
47113,1
47117,8
47119,2
47123,3
47125,3
47131,13
47133,1
47141,2
47143,60
47145,21
47147,15
47149,3
47153,2
47155,2
47157,10
47161,1
47163,1
47165,8
47167,7
47171,4
47177,2
47179,2
47183,3
47185,4
47187,1
47189,1
48001,7
48005,3
48007,20
48013,149
48015,3
48017,11
48019,26
48021,12
48025,1
48027,1
48029,2
48031,2
48037,6
48039,1
48041,15
48045,1
48049,1
48051,1
48053,80
48059,1
48061,2
48071,2
48073,2
48075,2
48085,1
48087,178
48089,1
48091,40
48093,1
48097,11
48099,11
48111,50
48113,3
48117,3
48121,1
48135,26
48139,1
48141,1
48143,24
48147,3
48149,1
48157,3
48161,2
48167,9
48171,12
48175,15
48177,5
48179,3
48181,304
48183,4
48187,20
48189,1
48199,5
48201,35
48203,2
48209,1
48211,1
48213,5
48215,2
48217,1
48219,4
48221,4
48223,1
48225,1
48227,17
48231,3
48233,6
48235,2
48239,1
48241,8
48245,4
48249,6
48251,1
48253,2
48255,2
48257,2
48259,1
48265,1
48267,1
48273,1
48277,20
48279,19
48281,3
48285,3
48287,2
48291,12
48293,1
48303,1
48309,2
48321,27
48323,2
48325,4
48329,24
48333,1
48335,5
48337,1
48339,7
48347,1
48349,2
48355,7
48357,1
48361,1
48363,13
48365,1
48367,2
48369,11
48373,5
48375,3
48377,2
48379,23
48381,119
48385,10
48395,1
48397,2
48409,9
48415,148
48419,2
48423,1
48439,3
48441,1
48445,10
48449,2
48451,3
48453,9
48455,3
48459,1
48463,6
48465,1
48467,37
48469,2
48471,1
48477,6
48479,6
48481,2
48483,27
48485,1
48487,1
48491,5
48493,2
49001,1
49003,93
49005,1
49007,2
49011,3
49013,1
49019,33
49021,2
49025,10
49029,1
49033,9
49035,4
49041,12
49043,2
49045,23
49049,2
49051,5
49053,2
49055,2
49057,6
50001,11
50003,4
50005,6
50007,1
50011,1
50015,1
50017,2
50019,3
50021,44
50023,6
50025,5
50027,2
51001,1
51003,2
51005,14
51009,2
51011,1
51013,34
51015,5
51019,1
51023,2
51025,100
51027,2
51031,1
51033,2
51035,4
51041,3
51047,7
51053,1
51057,3
51059,7
51061,40
51063,5
51065,4
51067,3
51069,1
51073,2
51077,1
51083,1
51085,7
51087,2
51089,1
51093,8
51099,1
51101,1
51109,1
51111,5
51113,2
51115,1
51117,1
51119,1
51121,21
51125,3
51127,1
51131,17
51137,3
51139,10
51145,1
51147,1
51149,5
51153,7
51155,2
51159,2
51161,6
51163,2
51165,1
51173,2
51177,2
51179,6
51183,22
51185,1
51187,1
51191,18
51193,25
51195,5
51197,8
51199,1
51510,10
51515,4
51520,16
51540,2
51550,6
51570,3
51590,24
51595,13
51600,4
51610,1
51650,7
51670,3
51680,27
51690,7
51700,6
51710,5
51730,56
51740,5
51750,9
51760,4
51770,1
51775,1
51800,19
51810,17
51820,9
51830,31
51840,10
53001,4
53005,6
53007,7
53009,13
53011,6
53015,312
53021,24
53025,5
53027,1
53029,5
53031,5
53033,3
53035,2
53037,1
53039,58
53041,6
53045,13
53047,58
53049,48
53051,2
53053,19
53055,6
53057,27
53061,2
53063,18
53065,4
53067,5
53071,1
53073,9
53075,1
53077,3
54001,1
54003,2
54007,9
54011,2
54017,4
54019,21
54027,1
54029,1
54033,4
54035,2
54037,2
54039,1
54041,4
54043,2
54045,1
54049,2
54051,2
54055,6
54059,5
54061,2
54065,1
54067,1
54069,1
54077,1
54079,1
54081,1
54083,1
54085,12
54087,1
54093,1
54097,2
54099,5
54101,1
54107,33
54109,2
55001,1
55003,1
55005,7
55007,1
55009,6
55011,93
55015,3
55017,4
55019,7
55021,3
55025,12
55027,10
55029,5
55031,6
55033,2
55035,1
55039,5
55043,11
55045,3
55047,8
55053,1
55055,14
55057,5
55059,2
55061,9
55063,13
55067,3
55069,1
55071,83
55073,3
55075,5
55077,6
55079,26
55081,11
55083,9
55085,4
55087,8
55089,16
55093,1
55095,12
55097,10
55101,7
55103,1
55105,2
